pert_id,pert_iname,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,sd_score,positive_fraction,negative_fraction,reproducibility_score,tier,robust_rank,canonical_smiles,inchi_key,inchi_key_prefix,pubchem_cid,chembl_id,pref_name,max_phase,match_status,target_chembl_id,mechanism_of_action,action_type,disease_signature_genes,core_signature_genes,disease_up_genes,disease_down_genes
BRD-K93918653,quizartinib,5,5,1,0.15511930929665405,0.1982050959541212,-0.08310820816442605,0.5013640066805835,0.21428627795459532,1,0.2,0.15511930929665405,Tier 2 — Strong 4/5+,21,NA,NA,NA,NA,CHEMBL576982,QUIZARTINIB,4,exact_name_match,CHEMBL1974,Tyrosine-protein kinase receptor FLT3 inhibitor,INHIBITOR,454,10,214,240
BRD-K93918653,quizartinib,5,5,1,0.15511930929665405,0.1982050959541212,-0.08310820816442605,0.5013640066805835,0.21428627795459532,1,0.2,0.15511930929665405,Tier 2 — Strong 4/5+,21,NA,NA,NA,NA,CHEMBL576982,QUIZARTINIB,4,exact_name_match,CHEMBL1936,Stem cell growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K93918653,quizartinib,5,5,1,0.15511930929665405,0.1982050959541212,-0.08310820816442605,0.5013640066805835,0.21428627795459532,1,0.2,0.15511930929665405,Tier 2 — Strong 4/5+,21,NA,NA,NA,NA,CHEMBL576982,QUIZARTINIB,4,exact_name_match,CHEMBL2095189,Platelet-derived growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K93918653,quizartinib,5,5,1,0.15511930929665405,0.1982050959541212,-0.08310820816442605,0.5013640066805835,0.21428627795459532,1,0.2,0.15511930929665405,Tier 2 — Strong 4/5+,21,NA,NA,NA,NA,CHEMBL576982,QUIZARTINIB,4,exact_name_match,CHEMBL2041,Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR,454,10,214,240
BRD-K42728290,NVP-BGJ398,5,5,0,0.15330785929646512,0.1640520934920849,0.00498461383961999,0.4070284325640745,0.1604435351570743,1,0,0.15330785929646512,Tier 1 — Consistent 5/5,22,NA,NA,NA,NA,CHEMBL1852688,INFIGRATINIB,4,search_match_requires_review,CHEMBL2095217,Fibroblast growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K29983336,rondual-kinase-inhibitor,5,3,2,0.2345101254575288,0.11459263872596416,-0.2796226676413366,0.3907727236128973,0.2702510054139747,0.6,0.4,0.14070607527451728,Tier 3 — Moderate 3/5+,23,NA,NA,NA,NA,CHEMBL4536936,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-A87137733,GSK-690693,5,3,2,0.23315353117419957,0.1121669847317898,-0.4384835452215593,0.5516076289981013,0.38863146539777793,0.6,0.4,0.13989211870451973,Tier 3 — Moderate 3/5+,24,NA,NA,NA,NA,CHEMBL494089,GSK-690693,1,exact_name_match,CHEMBL2111353,Serine/threonine-protein kinase AKT inhibitor,INHIBITOR,454,10,214,240
BRD-A87137733,GSK-690693,5,3,2,0.23315353117419957,0.1121669847317898,-0.4384835452215593,0.5516076289981013,0.38863146539777793,0.6,0.4,0.13989211870451973,Tier 3 — Moderate 3/5+,24,NA,NA,NA,NA,CHEMBL494089,GSK-690693,1,exact_name_match,CHEMBL2094138,cAMP-dependent protein kinase (PKA) inhibitor,INHIBITOR,454,10,214,240
BRD-A87137733,GSK-690693,5,3,2,0.23315353117419957,0.1121669847317898,-0.4384835452215593,0.5516076289981013,0.38863146539777793,0.6,0.4,0.13989211870451973,Tier 3 — Moderate 3/5+,24,NA,NA,NA,NA,CHEMBL494089,GSK-690693,1,exact_name_match,CHEMBL2093867,Protein kinase C (PKC) inhibitor,INHIBITOR,454,10,214,240
BRD-K04801023,SAR-245408,5,4,1,0.1747746084279201,0.12970655123071032,-0.03971941281802112,0.22626290157230228,0.11261899524264904,0.8,0.2,0.13981968674233608,Tier 2 — Strong 4/5+,25,NA,NA,NA,NA,CHEMBL3360203,PILARALISIB,2,search_match_requires_review,CHEMBL3559703,PI3-kinase class I inhibitor,INHIBITOR,454,10,214,240
