"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.83163219291983,0.441,0.067,0,"22","SRPX"
9.25926002537381e-14,2.83012814931591,0.294,0.041,2.56657428643337e-09,"22","PLA2G7"
1.36188265331683e-07,2.8296384992875,0.265,0.059,0.00377500252672891,"22","MAD2L1"
6.81362657406481e-08,2.80511871973128,0.353,0.097,0.00188866915006503,"22","TOMM34"
2.99999802777506e-10,2.80490011075287,0.441,0.121,8.3156945331897e-06,"22","RAB32"
1.97306970317612e-07,2.80225743312551,0.265,0.061,0.00546915191023389,"22","ZWINT"
0,2.79241740913187,1,0.439,0,"22","CTSB"
3.32735514696481e-08,2.78527986210192,0.265,0.054,0.000922309573187174,"22","PRIM2"
3.46208698975836e-06,2.78142380376672,0.265,0.071,0.095965589269112,"22","GBE1"
1.11022302462516e-15,2.76800345596576,0.647,0.181,3.07742720195847e-11,"22","AKR1B1"
9.21823638466712e-06,2.76751219180933,0.324,0.109,0.255520294346588,"22","ABCF2"
4.83077533530718e-09,2.76612987007472,0.471,0.155,0.00013390426151938,"22","PSME3"
1.82042829699469e-08,2.76457676070493,0.324,0.077,0.000504604519643959,"22","NAIP"
0,2.74716778841554,0.441,0.036,0,"22","ACTG2"
1.33226762955019e-15,2.7317649113038,0.735,0.254,3.69291264235017e-11,"22","EIF4G1"
8.63701818953899e-08,2.72795611184083,0.265,0.057,0.00239409507195831,"22","HIST1H1D"
1.99904115483207e-09,2.71919098218909,0.294,0.058,5.54114217707902e-05,"22","MAP1A"
4.48512247674948e-06,2.71394779311919,0.294,0.087,0.124323109933019,"22","REEP4"
0,2.6990944332702,0.824,0.222,0,"22","TNFRSF12A"
0,2.69629371176385,0.765,0.123,0,"22","MAP1B"
1.07025499573865e-13,2.67591119107216,0.294,0.041,2.96663982268797e-09,"22","GPR34"
0.00024690370848468,2.67470753397128,0.265,0.095,1,"22","PYGB"
0,2.66758431497436,0.529,0.097,0,"22","PLAU"
5.68159230773801e-09,2.62639046292142,0.5,0.173,0.00015748805717819,"22","DTYMK"
2.22044604925031e-16,2.61642561999012,0.824,0.313,6.15485440391694e-12,"22","CAPN2"
7.93046512903572e-08,2.60538182648992,0.294,0.069,0.00219824562911741,"22","AXL"
4.03944171756265e-06,2.59922309550046,0.265,0.071,0.111969284969119,"22","GTF3C2"
4.38607816732883e-09,2.5832772025734,0.5,0.17,0.000121577700720188,"22","GNG10"
3.79952089637481e-05,2.58213223360836,0.324,0.118,1,"22","FUCA1"
2.78237833439832e-05,2.57332494236688,0.294,0.098,0.771247450511869,"22","SMAGP"
2.22044604925031e-16,2.56569208086437,0.824,0.318,6.15485440391694e-12,"22","TUBA1C"
2.30482299912182e-13,2.55950014440233,0.353,0.059,6.38873887126579e-09,"22","NUSAP1"
0,2.54571986806743,0.588,0.119,0,"22","GPNMB"
8.76459416154773e-09,2.54364270229234,0.529,0.194,0.000242945785563942,"22","FUCA2"
1.36690658791849e-12,2.5347236581706,0.324,0.053,3.78892837105127e-08,"22","MSR1"
1.39744882332593e-10,2.53113469470006,0.471,0.13,3.87358839337715e-06,"22","PAK1"
0,2.5209306811632,0.353,0.043,0,"22","TFPI2"
0,2.51005295220057,0.647,0.144,0,"22","PTTG1"
5.52002887843628e-13,2.50929467938731,0.5,0.12,1.53009680481375e-08,"22","TGFB1I1"
0,2.50871693688271,0.676,0.142,0,"22","CAV2"
0,2.49415298211435,1,0.517,0,"22","RPL22L1"
3.33066907387547e-15,2.4922795308517,0.735,0.243,9.23228160587541e-11,"22","CREG1"
9.86456694107574e-10,2.48486302736762,0.294,0.056,2.73435931039678e-05,"22","SLCO2B1"
3.71271593522238e-05,2.48476477234397,0.294,0.099,1,"22","FAH"
0.000394379820430002,2.48409792685946,0.294,0.116,1,"22","TBRG4"
2.38013092346279e-07,2.48045590135953,0.265,0.06,0.0065974849067465,"22","TBXAS1"
0,2.4786041964745,1,0.954,0,"22","FTL"
2.36858769153692e-06,2.46629897248634,0.441,0.179,0.0656548822217118,"22","MRPL15"
7.21773528278291e-07,2.4605514388785,0.412,0.148,0.020006840430346,"22","RUVBL1"
1.21268965980192e-08,2.44841513194216,0.529,0.2,0.000336145446800495,"22","GARS"
4.48262428354163e-06,2.44706523464383,0.265,0.071,0.12425386251549,"22","PHF19"
6.66133814775094e-16,2.42834400813473,0.412,0.068,1.84645632117508e-11,"22","CENPF"
0,2.42112006990522,0.971,0.548,0,"22","LGALS1"
0,2.40682837613994,0.647,0.151,0,"22","DAB2"
2.53644343439774e-06,2.40346200683831,0.324,0.097,0.0703076755580709,"22","DRAM1"
9.80228339608757e-07,2.39790321885111,0.324,0.094,0.0271709493456151,"22","TMEM55A"
0,2.39655513147118,0.853,0.253,0,"22","S100A16"
3.68638986003589e-09,2.3894499055237,0.353,0.082,0.000102183040530335,"22","MPP1"
3.00755344762038e-06,2.37815308080173,0.324,0.099,0.0833663740145894,"22","CKAP5"
1.66495839337699e-09,2.37338861686669,0.588,0.232,4.61509817060168e-05,"22","SEC61A1"
