"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,8.54478080073924,0.408,0.05,0,"10","IGLV3-25"
0,8.54457811010464,0.303,0.024,0,"10","IGLV1-47"
0,8.41113876967893,0.497,0.062,0,"10","IGLV1-40"
0,8.35650916334745,0.634,0.068,0,"10","IGKV1-9"
0,8.33767498222882,0.332,0.031,0,"10","IGLV1-44"
0,7.03696485367169,0.317,0.003,0,"11","FIGF"
0,6.82349188387611,0.263,0.006,0,"11","ADH1B"
0,6.53506319578531,0.903,0.156,0,"11","APOD"
0,6.28551656815232,0.364,0.01,0,"11","ABCA8"
0,6.2119677940055,0.4,0.014,0,"11","GPC3"
0,6.02546259203762,0.414,0.013,0,"11","ABCA6"
0,6.00643224749548,0.306,0.01,0,"11","SVEP1"
0,5.99025037375296,0.385,0.011,0,"11","OGN"
0,5.57891072605025,0.975,0.087,0,"11","DCN"
0,5.56670988753225,0.343,0.013,0,"11","ABI3BP"
0,5.56061616284982,0.578,0.067,0,"11","C3"
0,5.45438953944808,0.648,0.047,0,"11","SRPX"
0,5.41294132346476,0.419,0.024,0,"11","NR2F1"
0,5.39982831731597,0.621,0.038,0,"11","PTGDS"
0,5.3757679866741,0.385,0.017,0,"11","LAMA2"
0,5.36777800593664,0.58,0.056,0,"11","IGFBP6"
0,5.36754114505457,0.653,0.03,0,"11","MEG3"
0,5.24527506548947,0.559,0.032,0,"11","PDGFRL"
0,5.24258077723806,0.279,0.022,0,"11","SFRP4"
0,5.23036002184501,0.446,0.021,0,"11","PDGFRA"
0,7.23743694451615,0.365,0.005,0,"12","SEMA3G"
0,7.23465053255252,0.506,0.007,0,"12","BTNL9"
0,6.28404875525347,0.497,0.012,0,"12","KDR"
0,6.16897885262787,0.522,0.014,0,"12","DLL4"
