"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"NME3","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.16027594909571,7.92238354004421,24.8679801051482,7.39997878398581e-05,0.0109266775335689,"ER_Positive_higher"
"JRKL","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.28315785727256,2.5273421167949,22.8176588091529,7.62160328427207e-05,0.0111132502888792,"TNBC_higher"
"MYO15B","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.06814697570147,2.33393497772682,23.0613227377233,7.76626972262808e-05,0.0111843871993156,"ER_Positive_higher"
"DEF8","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.70016341159142,4.46486634489525,24.3764739924955,8.14937741794143e-05,0.0115929862902789,"TNBC_higher"
"GPR143","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.72504302275957,2.01332443831638,22.091260258471,8.34782966302379e-05,0.0116308174050867,"ER_Positive_higher"
"SMIM12","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.21743817281962,5.405780306983,24.33473157391,8.37538501523601e-05,0.0116308174050867,"TNBC_higher"
"DSCC1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.21128506042993,2.32782488158581,22.747553514829,8.85018373831387e-05,0.0121455756832272,"TNBC_higher"
"ANXA1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",4.0851582910177,7.3169643832205,23.9136833802038,9.1953418788188e-05,0.0123649147540759,"TNBC_higher"
"SERBP1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.43203866691843,8.18272314061078,23.9134792796235,9.22201100389713e-05,0.0123649147540759,"TNBC_higher"
"CCL5","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",5.01338028320119,6.14618131230212,23.4773862737115,9.38406001336025e-05,0.0124392113699826,"TNBC_higher"
"CHAC2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.45967415893293,2.55544712460827,22.2315691940189,0.00010218077149836,0.013286853258917,"TNBC_higher"
"GBP1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.96482195139533,4.78708872536609,23.2625592524253,0.000103050408381597,0.013286853258917,"TNBC_higher"
"LRRC6","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.23189935956411,3.29455534402837,22.6737306051591,0.000104306045236495,0.013286853258917,"ER_Positive_higher"
"TPPP3","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-3.1569231182011,3.64321226900936,22.326314312469,0.000105818279693417,0.013286853258917,"ER_Positive_higher"
"DHRS2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-6.92787118032783,7.37517924869111,22.3603498001442,0.000106644427287807,0.013286853258917,"ER_Positive_higher"
"GLIPR1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",4.2800410105116,3.80690924710376,21.8157030928881,0.000108850738460804,0.013286853258917,"TNBC_higher"
"CD68","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.73072318956757,3.82265383658363,22.7306410312158,0.000109398034233737,0.013286853258917,"TNBC_higher"
"CENPN","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.25758676177815,3.50614631127183,22.6979808789982,0.00011111061986616,0.013286853258917,"TNBC_higher"
"CFAP20","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.35794862087808,4.71506885588564,23.0861449737978,0.00011161282595629,0.013286853258917,"TNBC_higher"
"AC018816.3","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-5.59264457278859,5.62944759806932,21.7932512383971,0.000113017230489673,0.013286853258917,"ER_Positive_higher"
"SPHK1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",4.6386670650967,4.95571064699905,22.1985886791423,0.000114850515954964,0.013286853258917,"TNBC_higher"
"CYHR1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.32994095870182,6.32042329232359,22.9917321319235,0.000114946015696781,0.013286853258917,"ER_Positive_higher"
"KIAA0825","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.749932116263,1.55992369889217,20.9325027457476,0.0001160886269993,0.013286853258917,"ER_Positive_higher"
"FYB","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.54852455075954,3.55564973998464,21.8692496282521,0.000116272407355331,0.013286853258917,"TNBC_higher"
"TRIB3","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.69625914800726,5.36796721200335,22.8950167086758,0.000117320693156318,0.013286853258917,"TNBC_higher"
"HOXB3","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-4.15073390151761,3.61474555302439,21.1028515319859,0.000119214506470042,0.0133715117112793,"ER_Positive_higher"
"CCDC82","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.39408066719033,3.49491612597439,21.7646269304441,0.000120972004559046,0.0134339986575856,"TNBC_higher"
"RP11-458F8.4","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.98649978088968,1.5222003179315,20.6115190064306,0.000123341905384854,0.0134339986575856,"ER_Positive_higher"
"CAV1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",5.78836137039358,6.5899673092118,22.1494889797425,0.000125477464033628,0.0134339986575856,"TNBC_higher"
"TUBB6","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",4.41840658927822,4.23313447128703,21.4773983766337,0.00012552986315275,0.0134339986575856,"TNBC_higher"
