"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"MX2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",4.00329363381926,1.6041719742104,23.3288533643371,0.000200060524136319,0.0306586200889255,"TNBC_higher"
"OSGIN1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.2406576156151,3.6242499815473,23.0874308896205,0.000200431064920026,0.0306586200889255,"Normal_higher"
"EXOSC7","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-1.48356402407093,5.41515070026858,24.1151063591383,0.000206974476539026,0.0312780826413133,"Normal_higher"
"HMOX1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.0171673039821,7.45281422039311,23.7863007184994,0.000218134047186637,0.032572087545976,"Normal_higher"
"GRPEL1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-1.6096469544912,6.20732193320737,23.5929433337183,0.00022981479431887,0.0339125525310774,"Normal_higher"
"SAT1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.27005087951953,11.505720046104,23.3437306998581,0.000241155360022282,0.0351722288460405,"Normal_higher"
"VNN3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.14944580688038,3.17193689516167,20.7293954156774,0.000244702725455907,0.0352793825907292,"Normal_higher"
"HLTF","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",1.96038959465078,4.71071698242752,23.0377303323241,0.000256648850109228,0.0357446224113406,"TNBC_higher"
"LIF","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.35740612780646,3.50929387739979,20.6914957634097,0.000256693819298396,0.0357446224113406,"Normal_higher"
"GIMAP4","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",8.42019488866986,1.65519668100597,21.9850623190044,0.000258699077451518,0.0357446224113406,"TNBC_higher"
"USP18","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",2.9215650247544,3.60012231002165,22.9291819880399,0.000259995522314817,0.0357446224113406,"TNBC_higher"
"SPN","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",5.25771060298714,-0.167059459329838,19.043164059175,0.000262178526815223,0.0357446224113406,"TNBC_higher"
"C5orf42","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",1.89124674868606,2.44195600636436,22.5332279796937,0.000267370945890109,0.0358333067365144,"TNBC_higher"
"EGR1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",3.70109199442785,7.48130536992308,22.8089275765077,0.000268542679839939,0.0358333067365144,"TNBC_higher"
"RHOC","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.75388422872072,8.04548939373517,22.6968315486364,0.000274827176757782,0.0360081674463138,"Normal_higher"
"ARRDC3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.17779837539538,5.48696772656316,22.5519868523219,0.000276557550894022,0.0360081674463138,"Normal_higher"
"CT83","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",9.03628314957992,3.57694988157762,20.1490857845968,0.000279129893840276,0.0360081674463138,"TNBC_higher"
"PTPRC","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",8.45817525929066,3.56814802135674,20.1464379461171,0.000281336236126824,0.0360081674463138,"TNBC_higher"
"GPR183","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",7.10514226432659,2.38636202284785,20.2031212432126,0.000286642402352186,0.0360810841102362,"TNBC_higher"
"CD8A","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",7.58746222570175,2.85195044994658,20.1436732144001,0.00028976872903144,0.0360810841102362,"TNBC_higher"
"URGCP","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-1.61649805591196,3.44793131185127,22.0005597216562,0.000293315619906012,0.0360810841102362,"Normal_higher"
"EXOSC8","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-1.33387694253788,5.33842913520671,22.3629973201098,0.000293412308000007,0.0360810841102362,"Normal_higher"
"FTH1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.76749114083979,14.6140961100613,22.0178432654784,0.000315308630860103,0.0380315254087566,"Normal_higher"
"NMT1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.28301519462721,5.25166996044006,21.970275057563,0.000315337530296635,0.0380315254087566,"Normal_higher"
