"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"SAA4","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.74933401679314,2.66599767707863,54.191836410483,3.03580620902683e-07,5.37441387003976e-05,"Normal_higher"
"LINC01589","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.47266446871846,0.681132113765299,73.229688249544,3.04408062206557e-07,5.37441387003976e-05,"Normal_higher"
"DSC3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.56154545822989,1.81500324405811,54.7979629014954,3.09185629420927e-07,5.39528923339518e-05,"Normal_higher"
"TGFBI","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.75558329907837,3.6287655168066,55.5398790779732,3.13482796656556e-07,5.40739807979878e-05,"Normal_higher"
"CAV2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.34257671430775,4.61178708443557,57.2090710890075,3.27361417333635e-07,5.5826281703703e-05,"Normal_higher"
"CHAD","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",7.90740337971453,3.49598218172553,55.5297446928877,3.3312487827441e-07,5.61708432389221e-05,"ER_Positive_higher"
"PSAT1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.44292037921944,3.10766670958342,55.4895676636173,3.64298060858724e-07,6.06670150204619e-05,"Normal_higher"
"ERO1A","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-4.03793598596715,6.24612749963842,66.026519236921,3.67874882845474e-07,6.06670150204619e-05,"Normal_higher"
"MFI2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-3.48458915871783,3.49669134855756,58.8891331427369,3.78178493876573e-07,6.16599331925312e-05,"Normal_higher"
"HMGA2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.30508253139372,2.66059500131125,52.730074286731,3.88386223190605e-07,6.16599331925312e-05,"Normal_higher"
"C1orf64","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",8.87019433106149,6.31597195593767,62.6039336834923,3.91300429900502e-07,6.16599331925312e-05,"ER_Positive_higher"
"BTG2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",5.70950496325403,9.82072080982717,65.6943820973674,3.92854519104368e-07,6.16599331925312e-05,"ER_Positive_higher"
"RGS11","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",5.85647025571035,3.30829969929145,62.3430392952844,3.94439500665222e-07,6.16599331925312e-05,"ER_Positive_higher"
"S100B","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.41695468604218,3.44303430862936,55.9039424916008,4.00700210313309e-07,6.19928665584724e-05,"Normal_higher"
"CORO1C","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-3.86818311467291,4.91592056350389,63.0714765361996,4.06815045473425e-07,6.22966672185683e-05,"Normal_higher"
"CHST2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.55724141669464,0.82915439328808,53.2505221226201,4.20698078007525e-07,6.31371489118444e-05,"Normal_higher"
"PRSS12","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.18600391461819,0.212040974610581,51.7223158209629,4.21495957075242e-07,6.31371489118444e-05,"Normal_higher"
"TUBB6","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.99878895932112,4.92715578058897,53.8311108529166,4.25165240800252e-07,6.31371489118444e-05,"Normal_higher"
"ANXA2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-3.24230833420218,10.184528094147,64.7815624938541,4.31168323248877e-07,6.31371489118444e-05,"Normal_higher"
"NES","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-3.15161905921463,1.77455586152762,52.6272081608283,4.33339530746983e-07,6.31371489118444e-05,"Normal_higher"
"FIBIN","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.16760610871239,1.92815650956308,51.4258882610211,4.38642362307148e-07,6.3295249337917e-05,"Normal_higher"
"COL6A2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.34087077474964,4.43769620604828,53.9304063692408,4.52700812435534e-07,6.41339895108699e-05,"Normal_higher"
"BBOX1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.19178189649126,3.82985527304949,54.0781013837056,4.53002124885201e-07,6.41339895108699e-05,"Normal_higher"
"DEFB1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.20008689276375,8.31483175650188,59.2959734332282,4.62873647485411e-07,6.49191105403137e-05,"Normal_higher"
"LINC01198","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.48034115842564,2.32952667957947,50.9520069141435,4.73970578583455e-07,6.58599673407585e-05,"Normal_higher"
"GULP1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.2889297403002,4.35122838910123,52.060981023539,4.82344016261919e-07,6.64085931380056e-05,"Normal_higher"
"B3GNT3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.135410723273,1.99460543850262,54.3984270826891,4.9500404822751e-07,6.75320522886386e-05,"Normal_higher"
"GABRE","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.35841983262517,3.08850578590313,54.2398161048046,5.05900191347398e-07,6.83967943382919e-05,"Normal_higher"
