pert_id,pert_iname,cell_lines_tested.x,median_cellline_score,mean_cellline_score,best_cellline_score,worst_cellline_score,compound_rank,cell_lines_tested.y,positive_cell_lines,negative_cell_lines,consistent_reversal,robust_rank
BRD-A28105619,cucurbitacin-i,1,0.47018421836039886,0.47018421836039886,0.47018421836039886,0.47018421836039886,116,1,1,0,TRUE,116
BRD-A32449311,BRD-A32449311,1,0.46854070531745473,0.46854070531745473,0.46854070531745473,0.46854070531745473,117,1,1,0,TRUE,117
BRD-A48570745,ivermectin,1,0.4681114571976148,0.4681114571976148,0.4681114571976148,0.4681114571976148,118,1,1,0,TRUE,118
BRD-A36275421,BRD-A36275421,1,0.4676943750696413,0.4676943750696413,0.4676943750696413,0.4676943750696413,119,1,1,0,TRUE,119
BRD-K65411918,BRD-K65411918,1,0.4674729400832479,0.4674729400832479,0.4674729400832479,0.4674729400832479,120,1,1,0,TRUE,120
BRD-A83124583,EMF-sumo1-39,1,0.46740236892344666,0.46740236892344666,0.46740236892344666,0.46740236892344666,121,1,1,0,TRUE,121
BRD-K05331696,BRD-K05331696,1,0.4673316402861633,0.4673316402861633,0.4673316402861633,0.4673316402861633,122,1,1,0,TRUE,122
BRD-K71003802,hippeastrine,1,0.46712392086559895,0.46712392086559895,0.46712392086559895,0.46712392086559895,123,1,1,0,TRUE,123
BRD-K35747889,SA-1919710,1,0.4669879855079014,0.4669879855079014,0.4669879855079014,0.4669879855079014,124,1,1,0,TRUE,124
BRD-K02764365,methiazole,1,0.46649592287427066,0.46649592287427066,0.46649592287427066,0.46649592287427066,125,1,1,0,TRUE,125
BRD-A10606614,talampicillin,1,0.46558336239809073,0.46558336239809073,0.46558336239809073,0.46558336239809073,126,1,1,0,TRUE,126
BRD-K30779094,BRD-K30779094,1,0.46516463727623847,0.46516463727623847,0.46516463727623847,0.46516463727623847,127,1,1,0,TRUE,127
BRD-K34533029,tyrphostin-AG-494,1,0.46401115622754946,0.46401115622754946,0.46401115622754946,0.46401115622754946,128,1,1,0,TRUE,128
BRD-A55594068,vinblastine,1,0.4639003974220446,0.4639003974220446,0.4639003974220446,0.4639003974220446,129,1,1,0,TRUE,129
BRD-K11590034,morin,1,0.46057569764898637,0.46057569764898637,0.46057569764898637,0.46057569764898637,130,1,1,0,TRUE,130
BRD-A23637604,oxymetholone,1,0.45968016699476943,0.45968016699476943,0.45968016699476943,0.45968016699476943,131,1,1,0,TRUE,131
BRD-U87780043,XMD-132,1,0.45966943537912336,0.45966943537912336,0.45966943537912336,0.45966943537912336,132,1,1,0,TRUE,132
BRD-A39093044,K784-3187,1,0.45842567513057503,0.45842567513057503,0.45842567513057503,0.45842567513057503,133,1,1,0,TRUE,133
BRD-A15100685,avicin-d,1,0.4571743601134008,0.4571743601134008,0.4571743601134008,0.4571743601134008,134,1,1,0,TRUE,134
BRD-K80346834,BRD-K80346834,1,0.453121115208966,0.453121115208966,0.453121115208966,0.453121115208966,135,1,1,0,TRUE,135
BRD-K69500068,BRD-K69500068,1,0.4522335968863691,0.4522335968863691,0.4522335968863691,0.4522335968863691,136,1,1,0,TRUE,136
